id,social_network_account_id,social_network_account_followers,code_iso,comments,like,love,haha,wow,angry,sad,shares,post_impressions,post_impressions_unique,post_consumptions,total_video_views,total
421,29570,607546,MX,6,14,0,0,1,0,0,2,41388,26741,664,0,687
568,48992,31105,MX,1,21,0,0,0,0,0,0,1121,0,456,0,22
553,48719,61,CO,0,3,0,0,0,0,0,0,148,85,6,0,9
398,44977,86992,MX,3,77,1,5,1,1,5,13,9530,7056,182,0,16
388,41650,15132,MX,8,85,17,0,0,0,0,2,8308,4560,87,0,199
434,29221,59057,PE,0,27,2,4,0,0,0,0,5181,3259,146,0,179
422,31958,8937,MX,0,3,0,0,0,0,0,2,1503,982,0,0,5
423,31992,18875,MX,0,0,0,0,0,0,0,0,644,374,14,0,14
424,29570,607546,MX,2,8,0,0,0,0,0,2,16357,10708,168,0,180
425,30343,0,MX,0,5,0,0,1,0,0,0,1031,639,13,0,19
426,30523,8748,MX,0,4,0,0,0,0,0,1,1189,744,32,0,37
444,45380,46135,MX,8,103,18,0,0,0,0,0,6810,0,0,0,129
385,44573,10720,CO,0,7,0,0,0,0,0,2,1097,760,20,0,29
442,46217,46210,BR,0,24,2,0,0,0,0,2,0,0,0,0,28
340,24711,37078,CO,5,98,7,0,0,0,0,0,3211,0,0,0,110
360,28285,1009218,PE,110,11842,954,34,14,0,1,34,595575,412191,21815,0,34804
438,26718,261659,MX,4,669,45,0,1,0,0,2,5526,0,0,0,721
437,26718,261659,MX,2,199,11,0,0,0,0,0,3947,0,0,0,212
432,27695,0,MX,5,356,45,1,0,0,0,3,39981,0,764,0,410
403,29235,2187443,MX,8,311,18,9,0,0,3,55,67634,50197,2218,0,2622
399,45505,31714,MX,3,40,1,1,0,5,4,13,5688,4142,184,0,251
428,30534,1933648,MX,131,2424,350,3,15,0,3,40,137642,98461,2345,0,5311
579,40567,261659,MX,2,8,0,0,0,0,0,0,4171,2984,77,0,87
101,28622,2057157,MX,0,8,1,0,0,0,0,1,15410,10047,225,0,235
440,24251,180842,MX,43,4311,944,6,0,2,12,40,108085,72725,4263,0,9621
392,37228,59969,MX,2,258,13,67,0,1,1,14,14535,10142,620,0,976
603,37228,59969,MX,4,166,71,3,5,0,0,0,6939,4785,342,0,591
405,43581,196163,MX,2,218,4,2,0,0,4,6,18694,13333,330,0,566
389,30275,229998,MX,2,75,0,15,1,0,0,7,13676,10182,253,0,353
594,24793,14557,MX,0,39,12,0,0,0,0,0,17639,9150,107,0,158
549,44488,388453,MX,2,47,1,0,0,0,1,6,8073,5248,120,0,177
609,35875,1466535,CO,15,926,16,208,4,0,32,61,115292,82269,13273,0,14535
431,30710,323403,MX,10,978,96,9,1,1,0,1,41819,29358,949,0,2045
400,42012,99708,MX,0,132,15,0,0,0,3,7,29520,18994,152,0,309
441,46217,46210,BR,0,11,0,0,0,0,0,0,0,0,0,0,11
469,28248,30675,PE,4,23,1,0,0,0,0,0,3429,2347,318,0,346
439,26718,261659,MX,2,1034,46,0,0,0,0,3,7894,0,0,0,1085
466,40878,76586,MX,0,32,6,0,0,0,0,0,6127,0,0,0,38
480,47952,932,BR,0,0,0,0,0,0,0,0,0,0,0,0,0
342,35051,314890,MX,52,1550,383,31,3,5,258,10,78254,50653,6405,0,8697
450,27191,29705,MX,1,372,1,0,0,0,0,1,1253,0,0,0,375
468,44386,0,BR,0,0,0,0,0,0,0,0,0,0,0,0,0
479,41199,2551,CO,0,0,0,0,0,0,0,0,155,110,1,0,1
